,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,bedrooms per total rooms
2289,-117.43,33.91,15.0,14281.0,2511.0,7540.0,2245.0,4.3222,138000.0,0.17582802324767174
2320,-117.46,34.04,3.0,12870.0,2315.0,5820.0,1759.0,4.2429,147300.0,0.17987567987567987
2327,-117.47,34.12,6.0,10565.0,1767.0,5690.0,1555.0,4.1797,141000.0,0.16725035494557502
2345,-117.48,33.89,14.0,10395.0,1799.0,6295.0,1855.0,4.7295,149900.0,0.17306397306397306
2464,-117.61,34.1,9.0,18956.0,4095.0,10323.0,3832.0,3.6033,132600.0,0.21602658788774004
2791,-117.71,33.97,10.0,10856.0,2278.0,6474.0,2199.0,3.851,137200.0,0.20983787767133383
2962,-117.78,34.58,6.0,10263.0,1864.0,6163.0,1781.0,3.8803,120000.0,0.1816233070252363
4628,-118.07,34.56,5.0,10264.0,1821.0,5871.0,1790.0,4.2329,145500.0,0.1774162120031177
4771,-118.09,34.68,4.0,23386.0,4171.0,10493.0,3671.0,4.0211,144000.0,0.17835457111092107
4853,-118.1,34.7,5.0,10356.0,1647.0,4562.0,1427.0,4.9806,141100.0,0.15903823870220163
4856,-118.1,34.57,7.0,20377.0,4335.0,11973.0,3933.0,3.3086,138100.0,0.21273985375668647
5325,-118.15,34.67,5.0,12317.0,2953.0,6291.0,2654.0,3.5732,146900.0,0.23974993910854916
9203,-119.05,35.33,18.0,12707.0,2685.0,7009.0,2552.0,2.9438,87200.0,0.2113008577949162
9204,-119.05,35.3,9.0,10822.0,1994.0,6241.0,1906.0,4.0631,88200.0,0.18425429680280908
9248,-119.08,35.32,8.0,11609.0,2141.0,5696.0,2100.0,5.0012,106300.0,0.1844258764751486
9923,-119.74,36.85,3.0,10425.0,2121.0,4432.0,1778.0,3.9032,140800.0,0.20345323741007193
9925,-119.74,36.8,18.0,10862.0,2401.0,5466.0,2209.0,2.4678,74300.0,0.22104584791014545
10377,-120.18,39.28,14.0,10098.0,1545.0,701.0,254.0,4.0819,141300.0,0.15300059417706477
10391,-120.2,37.84,9.0,13670.0,2453.0,2811.0,1193.0,3.2589,137900.0,0.17944403803950257
10692,-120.59,34.7,29.0,17738.0,3114.0,12427.0,2826.0,2.7377,28300.0,0.17555530499492614
11579,-121.28,38.68,14.0,11442.0,2690.0,6068.0,2435.0,2.6016,121200.0,0.23509875895822407
11624,-121.29,38.61,17.0,13553.0,2474.0,6544.0,2359.0,3.9727,132700.0,0.18254261049214196
11764,-121.32,38.69,11.0,13796.0,2372.0,6000.0,2250.0,3.8776,124500.0,0.17193389388228472
11865,-121.35,38.7,5.0,14414.0,2979.0,7608.0,2832.0,3.5802,129600.0,0.20667406687942277
11875,-121.35,38.54,12.0,16239.0,3358.0,8656.0,3234.0,3.5691,116300.0,0.2067861321509945
11975,-121.38,38.47,4.0,14418.0,2282.0,6578.0,2140.0,4.5604,145900.0,0.158274379248162
11983,-121.39,39.12,28.0,10035.0,1856.0,6912.0,1818.0,2.0943,108300.0,0.18495266567015445
12018,-121.4,38.47,4.0,20982.0,3392.0,10329.0,3086.0,4.3658,130600.0,0.1616623772757602
12034,-121.41,38.59,17.0,12355.0,3630.0,5692.0,3073.0,2.5245,99100.0,0.29380817482800486
12209,-121.46,38.49,15.0,10211.0,1995.0,5656.0,1752.0,2.575,107900.0,0.19537753403192634
12274,-121.48,38.46,8.0,10505.0,1777.0,6002.0,1694.0,4.0516,121200.0,0.16915754402665398
12278,-121.49,38.63,6.0,12197.0,2617.0,5634.0,2329.0,3.7449,129300.0,0.21456095761252766
12279,-121.49,38.62,8.0,15309.0,2996.0,7463.0,2885.0,3.9143,129700.0,0.1957018747142204
12304,-121.5,38.62,8.0,16679.0,3457.0,7919.0,3329.0,3.7188,134500.0,0.2072666226992026
12654,-121.75,38.67,9.0,12139.0,2640.0,6837.0,2358.0,3.125,132500.0,0.217480846857237
12772,-121.79,36.64,11.0,32627.0,6445.0,28566.0,6082.0,2.3087,118800.0,0.19753578324700402
13388,-121.94,38.27,35.0,10869.0,2226.0,9879.0,2152.0,2.5681,81300.0,0.20480264973778636
13707,-122.0,38.25,7.0,11768.0,1893.0,6657.0,1874.0,4.9222,142900.0,0.1608599592114208
15436,-122.31,40.55,11.0,13714.0,2302.0,6511.0,2267.0,3.5522,100100.0,0.1678576637013271
